doc_id,p_positive,p_negative,polarity
7,0.26082602236419916,3.77054949849844,-0.8706019714537421
8,4.258305826224387,1.130556722637266,0.5804098871008035
11,2.465296902693808,8.087461724877357,-0.5327673095349685
12,2.24249507766217,16.451473768800497,-0.7600835760366765
20,0.393577185459435,2.3372089536860585,-0.7117480715037264
21,0.7996223708614707,1.6574344616383314,-0.3491217945918557
24,0.7999705485999584,0.23802208993583918,0.5413800038661812
25,1.6123075354844332,3.6956862318329513,-0.3924983313235968
28,3.456767711788416,4.283749338705093,-0.10683803440027878
29,1.859666770324111,7.929244451224804,-0.6200462486102386
34,0.9312747456133366,3.630150320008397,-0.5916737720269017
36,3.229114736430347,4.333593248389661,-0.1460427288976509
37,2.107079901266843,9.03767173923552,-0.6218704607809143
40,1.3023294331505895,6.713906129822135,-0.6750770550789618
55,1.3708562143146992,1.3535744524560869,0.006343256251439016
57,0.8147042212076485,6.596560891717672,-0.7801443589469802
65,0.9906634404323995,8.233736911788583,-0.7852080563276359
70,1.2888486022129655,8.259937576949596,-0.7300497512394054
81,0.0620806273072958,0.9467012286186218,-0.8769196195529247
87,1.7052414757199585,8.129664764739573,-0.6532266939759644
90,1.5789301916956902,8.277896543731913,-0.6796270779477116
93,2.4719415679574013,2.579733090940863,-0.021337780095076208
94,3.248151797801256,9.23189251869917,-0.4794647013381244
103,0.4255574052222073,2.7108336072415113,-0.7286324290999132
105,0.6677504382096231,2.7029798589646816,-0.603794798551695
108,0.9554065759293735,4.218396247364581,-0.6306753045832467
110,1.2461463240906596,3.4840680407360196,-0.47311211375235146
111,1.4936025766655803,2.4600474764592946,-0.24444371322889688
120,0.25491695385426283,2.739551397971809,-0.8297414272558763
124,0.7886458840221167,2.757492977194488,-0.5552086847767564
126,1.8967921677976847,8.152035356499255,-0.6224848793131805
127,0.3479514326900244,4.410685822367668,-0.8537600518633216
130,0.2730475105345249,0.16795691661536694,0.2382982742329721
136,0.2077205078676343,2.680042626336217,-0.8561374335673619
137,0.18174482882022858,1.0186614207923412,-0.6971944641587209
139,0.27902398025617003,5.904534867033362,-0.9097529474053826
140,1.5812682379037142,5.183949636295438,-0.5325299887429962
142,1.1998748956248164,3.06184552796185,-0.4369058613116534
143,1.7664804803207517,2.9081386351026595,-0.24422485053699525
148,0.523167060688138,1.710372134577483,-0.531535366115492
151,0.021071767434477806,1.0414907336235046,-0.9603378297013548
155,0.6144194225780666,11.16847363859415,-0.8957099212581008
163,1.1868453919887543,0.8480273075401783,0.16650578904854585
164,2.007428530137986,10.179320205934346,-0.6705555232797398
165,1.461212232708931,4.7436442244797945,-0.5290101413977798
171,7.60038551595062,21.55280181253329,-0.4785897383834283
177,3.4167213728651404,3.462934922426939,-0.00671742127487051
179,3.4251509802415967,3.342419137712568,0.012224748482403054
180,0.8404141939245164,1.3532485393807292,-0.2337799414968767
184,0.4645749079063535,8.902502037584782,-0.9008068556263055
186,2.0115935131907463,0.9370005533564836,0.36444248871877927
190,0.899332663975656,9.447177741676569,-0.8261572977330076
196,4.081211599055678,7.964037857018411,-0.322353328764346
200,0.10641951486468315,5.716883406043053,-0.9634504622855593
203,0.8991590263321996,2.673997133038938,-0.49671439689291574
206,0.4050591471605003,4.836025044322014,-0.8454292538100417
208,1.023567101918161,10.860720275435597,-0.8277444714322467
212,0.23734912276268005,1.1787951849400997,-0.6647952874971732
214,2.1475697210989892,4.545036839321256,-0.35822621523882997
215,0.1351567916572094,1.0466914474964142,-0.7712789389027018
219,1.21259431168437,3.3564877435564995,-0.4692175377792903
222,3.637638721615076,5.79399791941978,-0.2286304360393464
223,0.14896170236170292,0.16073951870203018,-0.03802960898841755
229,2.6704169660806656,4.247823647689074,-0.22800691240321777
231,2.1246477467939258,6.134075377136469,-0.48547790865205054
232,5.3885962860658765,18.40707774553448,-0.5470944610427794
235,1.9884858494624496,8.986727823503315,-0.637640612982174
242,0.5173844136297703,0.20364911621436477,0.43511887371283575
243,7.944847047328949,22.637634915299714,-0.48043150604730683
247,8.915971354581416,29.284796779043972,-0.5332046034575103
249,3.993199283257127,0.6369537787977606,0.7248670744740178
252,0.3557736212387681,3.2637988310307264,-0.803416770388946
253,1.213912833482027,1.4628785979002714,-0.09300902621672885
256,7.133258095011115,1.4928064888808876,0.6538846946106045
263,2.0776196173392236,5.923799238167703,-0.48068719939350374
274,0.46888632234185934,1.5953453215770423,-0.5457037743574543
275,1.068697975948453,8.930934118106961,-0.786252540914147
276,3.8387370109558105,1.9438894437626004,0.32767940001498047
277,0.7410118505358696,6.866453384980559,-0.8051882387640069
284,2.8690369920805097,4.615078770555556,-0.2332996754528847
294,1.2384009528905153,2.8334562671370804,-0.3917267301026246
300,2.5583259277045727,5.386816514655948,-0.3560025018394343
302,0.5991545505821705,3.3496534693986177,-0.6965390327659262
308,3.4999123411253095,4.228344801813364,-0.09425572250187492
318,6.118362572975457,4.940196672454476,0.10653882430550465
320,2.7984935846179724,13.343542568851262,-0.6532663465734032
325,2.2816181425005198,11.974571891129017,-0.6799119347990378
328,5.122330732643604,10.88631933555007,-0.360054631611826
335,1.1475291224196553,4.1775804264470935,-0.5690120130339296
337,1.0447494410909712,8.250410596840084,-0.7752057120419623
340,3.2404078086838126,13.096276552416384,-0.6032967599716925
341,0.6831788858398795,3.2247193828225136,-0.6503599434413909
346,0.04332996439188719,1.5427168011665344,-0.9453610507164281
350,1.0798031757585704,11.461523262783885,-0.8278008022436136
359,0.5092620067298412,5.494751861318946,-0.8303594835313867
360,1.8822290878742933,7.090671280864626,-0.5804636158822929
361,0.302248515188694,2.0759486192837358,-0.7458171059010071
365,3.414000451564789,16.839629070367664,-0.6628751949996782
368,0.2941727638244629,0.6242363601922989,-0.3593862340172621
371,2.3664896306581795,14.428116549737751,-0.71818456411072
373,1.7298457375727594,5.194489098154008,-0.5003575712001375
377,2.7697883136570454,15.112432329449803,-0.6902187520289798
381,2.3582873474806547,8.55732170958072,-0.5679054947547159
386,0.5277010928839445,6.641113098710775,-0.852778694277475
388,0.15788780059665442,4.27784164249897,-0.9288108967769091
389,1.1892932802438736,4.202238822355866,-0.5588291945175701
400,0.5009498130530119,2.036348295863718,-0.605131291989029
402,1.791480552405119,5.481943740043789,-0.5073900599294766
405,2.148650515358895,9.741042575798929,-0.6385692214448947
408,0.35386325884610415,2.2067989483475685,-0.72361582261623
415,1.3269764631986618,8.242623736150563,-0.722668359062845
422,3.1517402166500688,14.278825752437115,-0.6383662788414391
428,0.5356632694602013,1.9215814070776105,-0.5640130797107127
429,1.151408608071506,3.579814459197223,-0.5132723223145531
431,2.730448140297085,6.6202259957790375,-0.4159890291197578
432,0.53031684178859,1.5590352695435286,-0.49236240372072143
441,5.571212494745851,3.714605817105621,0.199940017701019
450,2.349560024216771,14.37952804332599,-0.7191048292972202
451,1.3657108899205923,1.6493555025663227,-0.09407574352340478
452,1.313188597559929,6.746931571513414,-0.6741516081611372
453,0.7943882253021002,6.0317941177636385,-0.767252562155932
456,4.026314954273403,9.85663470486179,-0.4199626083605027
460,4.852443697862327,5.788938471581787,-0.08800499397610606
461,2.3493286157026887,4.266953316517174,-0.28983418791085336
464,6.954333656467497,14.332720825914294,-0.34661381524405666
467,0.4525236478075385,1.2708866894245148,-0.4748509533317895
468,4.4490936463698745,5.162233076989651,-0.07419781380300769
469,2.4281387822702527,11.69781584199518,-0.6562159730996804
474,1.7414664360694587,3.7592153307050467,-0.3668179655152802
478,8.738965555559844,10.522793443873525,-0.09260981244579293
479,0.8408588324673474,8.747704165056348,-0.8246121274512319
483,0.9941642037592828,5.220104361884296,-0.6800382238849496
484,3.073779511731118,5.816003663931042,-0.3084691828825577
496,1.9386755283921957,5.436870655976236,-0.4742964168535156
498,0.08129361970350146,2.7825464978814125,-0.9432275431824537
506,0.30404200591146946,1.432775128632784,-0.6498859898781733
509,1.5798206785693765,4.523558442946523,-0.4823127821110229
511,4.383131802082062,5.664856821298599,-0.12756035732703402
515,0.17534684389829636,0.9048793138936162,-0.675351605524791
517,2.245411862619221,4.092729438561946,-0.2914604594880474
518,2.3969837054610252,3.6465570316649973,-0.2067617942123766
519,2.073669472709298,7.385813260450959,-0.5615681044714376
523,0.6570635251700878,6.3834922052919865,-0.8133489598476991
524,0.8343000132590532,4.620975708588958,-0.6941309456025898
529,4.538090156391263,4.126160440966487,0.047543605854423306
531,4.0877542262896895,13.042396805249155,-0.5227416011961761
532,2.9566988879814744,2.0513975974172354,0.18076754176032703
534,0.6951055871322751,2.5990431499667466,-0.5779755908989671
538,2.9000542708672583,8.207599990069866,-0.4778277748405851
539,1.806645403150469,8.03118042089045,-0.6327144969906165
540,0.9510749317705631,15.441133663058281,-0.8839601233392022
543,0.20806961879134178,2.6323480792343616,-0.8534936471235255
546,4.822703880723566,9.213370699435472,-0.31281301575000925
547,5.274676165077835,10.907019458012655,-0.34806879477434943
549,5.661836865823716,13.272581666707993,-0.40195291911434516
551,0.7299340963363647,0.32307454524561763,0.3863781692039272
561,1.8941414509899914,19.823347851401195,-0.8255653381828211
563,1.2530549243092537,4.80634562112391,-0.5864096077114602
570,2.160327548161149,10.094157291576266,-0.6474225434338595
572,0.9657961991615593,10.916675245389342,-0.837441864906837
575,1.5385707532986999,5.194540483877063,-0.5429837116594757
588,2.366715661715716,23.6089088935405,-0.8177741092090727
592,0.7238089866004884,3.9899166226387024,-0.6928930334077466
594,0.13769797049462795,2.8149339077062905,-0.9067286568896745
595,3.0460576163604856,5.299002733081579,-0.26997349598214126
600,0.25603410229086876,1.0486160283908248,-0.6075053437393334
602,1.0091846864670515,2.1102552078664303,-0.35297058404591797
604,0.18095720000565052,1.17474649194628,-0.7330431405029568
605,0.5536609077826142,4.478959988802671,-0.7799711445943913
606,3.670718080829829,5.793514742515981,-0.22429674980623243
607,2.4448222806677222,9.32462008902803,-0.584547474065041
610,1.3114463351666927,0.24463818687945604,0.6855721094659875
614,0.58622673060745,3.046195577830076,-0.6772254540745005
617,1.002076187171042,1.6869740057736635,-0.25469878561558346
619,1.0377763099968433,8.778448546305299,-0.7885589775725295
620,2.827785363420844,3.9432999964337796,-0.16474679814651177
621,0.33289043325930834,3.1276517398655415,-0.8076079315865617
626,5.003574264701456,5.422846264671534,-0.0402124582246494
631,0.18005918432027102,3.805670070461929,-0.9096480604623681
634,2.3230846440419555,3.5685099312104285,-0.21139018838799004
636,0.7470458773896098,3.002280194312334,-0.601503916648785
641,0.05676668882369995,1.3443902060389519,-0.9189716882780297
645,0.617627527564764,14.820349381305277,-0.9199859500747977
649,0.34747586213052273,0.774517435580492,-0.380609736547267
654,0.33111394522711635,2.2845237012952566,-0.7468197128392589
655,0.29814643412828445,2.1815963964909315,-0.759534391673822
657,0.16553206462413073,3.735128805041313,-0.9151261439250493
664,0.7109453864395618,9.4540486484766,-0.8601188777882336
