ID,sentiment_final,HIV4_Polarity,VADER_Compound,polarity_siebert,polarity_twitter
8915.0,neutral,0.0,0.296,-0.0060036243666372,-0.6931104512800578
628.0,negative,-0.1111110987654334,-0.765,-0.0059823669370815,-0.9782873822390108
1279.0,negative,0.199999980000002,-0.6688,-0.9963335339146744,-0.96952864472906
5129.0,neutral,0.4999999583333368,-0.5719,-0.9959516825038603,-0.9154141814422878
8568.0,neutral,0.9999997500000624,-0.34,0.3272050207598866,-0.130507422987047
1742.0,negative,0.1666666527777789,-0.4767,0.3294165465535924,-0.4232296504260076
9121.0,positive,0.6666666111111158,0.0,0.99537282657262,0.934529932948055
9080.0,negative,-0.7499999062500118,-0.6249,-0.0053934550124718,-0.9311786533722458
6902.0,negative,0.1428571326530619,0.6705,-0.335171772914612,-0.8721325147491163
7840.0,negative,0.0588235259515572,0.5413,-0.3315433634339806,-0.5249197624376184
9464.0,neutral,0.7499999062500118,0.8412,0.9919317830960606,0.9574762283934024
8778.0,negative,0.0909090826446288,0.4996,-0.9984123328061664,-0.8341158944695782
11142.0,neutral,0.0833333298611112,-0.5647,-0.3176373443272091,-0.7362172566029961
7352.0,negative,-0.1666666527777789,-0.9856,-0.5040346766895873,-0.9246878636769588
5404.0,negative,0.0,-0.296,-0.3385571840785386,-0.9570708228521054
5004.0,positive,0.399999960000004,0.8402,0.9975538758403744,0.9573695843244152
10803.0,neutral,0.9999996666667778,-0.5136,-0.1093779085947561,-0.7140895687339442
1859.0,positive,0.1666666527777789,-0.5744,0.5828401154110908,-0.4215726282426519
7685.0,neutral,0.0,0.1779,-0.0057128046027261,-0.8479909693585467
6429.0,negative,0.1428571326530619,0.6705,-0.4936308623329284,-0.7977223794790513
585.0,negative,-0.4545454132231443,-0.6652,-0.0002761773411245,-0.8567228102316446
1598.0,negative,-0.1428571326530619,-0.9153,-0.9875210942396068,-0.9251585406122266
724.0,negative,-0.0999999950000002,-0.7365,-0.0093889085787155,-0.8804116499332053
12005.0,negative,0.333333277777787,0.882,0.0013517358016281,-0.3170918821497225
2448.0,negative,0.599999940000006,0.7469,0.9925866813523015,-0.1917860634640143
2167.0,neutral,0.2499999687500039,0.8316,0.3233906705207185,-0.3589572497923933
10663.0,neutral,0.4999999375000079,-0.0516,0.0174619645644293,-0.1663402916170158
4205.0,negative,-0.0526315761772854,0.8852,-0.4927996900106436,-0.8299854090593983
40.0,positive,0.2857142653061239,-0.8519,0.3360573975677371,-0.0581230077169205
2262.0,negative,0.7999999200000081,0.0772,0.9871784559662616,0.3805741109821615
1120.0,negative,0.333333277777787,0.6808,-0.9965198917244874,-0.8993455676553946
3454.0,positive,0.3333332962963004,0.9542,0.3361745653838267,-0.553536183172148
2216.0,positive,0.9999998750000156,0.8908,0.9974258591654522,0.993901593654942
6391.0,negative,0.3333332222222592,0.3818,0.0131030283953771,0.6237168179309251
9266.0,negative,-0.3333333055555579,-0.6956,-0.969273755796108,-0.6823998697652764
5904.0,neutral,0.1428571224489825,-0.4404,0.9932277661845124,0.2109530635837647
11206.0,negative,-0.7777776913580343,-0.8294,-0.9832625479138242,-0.7484475650487658
2490.0,negative,-0.7999999200000081,-0.9253,-0.4979590086221169,-0.8911450142157085
4297.0,negative,0.1111110987654334,0.0,0.9603810293242588,-0.6554210279853462
5259.0,neutral,0.9999996666667778,0.5574,0.3720887273534447,0.4335670797895238
772.0,neutral,0.9999998571428776,0.802,0.0329989626565387,-0.2585677700277273
6231.0,neutral,0.4285713673469475,-0.7717,0.9839156456272028,-0.6218699001756222
1639.0,neutral,0.99999950000025,0.5994,0.9824279148955972,0.785793009536609
2865.0,positive,0.1578947285318563,-0.9032,0.3279475940999008,-0.0181765971235553
2238.0,neutral,0.5555554938271674,0.34,-0.0014146027067059,-0.9085762014283616
12131.0,negative,0.0,-0.2263,-0.3395328952214333,0.0623525480913024
10696.0,positive,0.9999998571428776,0.9413,0.9968607581436388,0.9825862799073996
4335.0,negative,0.4999998750000312,-0.743,-0.9916149440418632,-0.7954577746583817
7022.0,neutral,0.0,-0.4019,-0.9968883819209852,-0.7959437891014258
12140.0,neutral,-0.0909090826446288,-0.8126,0.3256977175173978,-0.9371874377557864
2979.0,negative,-0.3333332962963004,-0.8225,-0.9851400256345392,-0.8496420002801484
7781.0,neutral,0.0370370356652949,0.6249,0.5857079087940337,-0.0250085622623922
2852.0,negative,-0.4999999375000079,-0.8986,-0.9917194799232611,-0.9766902246153925
8146.0,negative,0.0,-0.9722,-0.98858138889542,-0.9609153712117258
5080.0,neutral,0.6666666111111158,0.8126,0.978656298465812,0.245831246813618
6210.0,negative,0.1111110987654334,-0.2023,-0.9932028640700364,-0.9239903888060856
9470.0,neutral,0.1428571326530619,0.6249,0.4843852521489967,-0.8228142503199268
1646.0,positive,-0.3333332222222592,0.0,0.0201692019753398,0.5098237450615767
6691.0,neutral,0.199999960000008,0.9022,0.9897731700097588,-0.1910253561055496
123.0,positive,0.199999960000008,0.5423,0.9858696494352792,0.6763152984598239
2538.0,negative,-0.1428571224489825,-0.802,0.2777783729272868,-0.7450809719988692
3854.0,neutral,0.0769230710059176,-0.7493,0.3344214708230055,-0.6560174282590726
6271.0,negative,-0.3333333055555579,-0.886,-0.3316298569741022,-0.8896888094063372
3106.0,negative,0.2727272479338866,0.4404,0.9753920898858262,-0.1235277035344225
4082.0,neutral,0.8333332638888947,0.6771,-0.602381995718945,-0.8483181416661929
11311.0,positive,0.4666666355555576,-0.3182,0.2503698253235221,-0.6055175991282807
3014.0,negative,-0.1249999921875004,0.6908,-0.3381237489985029,-0.8340754830413766
5645.0,neutral,0.0,0.0,0.9658877952295892,-0.6803351610370478
5062.0,positive,0.0,0.8979,0.994819550132496,0.6651634861821822
8495.0,negative,0.3333332222222592,0.0,-0.9974158855412784,-0.7554709124665481
8768.0,neutral,0.1428571224489825,-0.1027,-0.9918782946911124,-0.8454382338000883
4570.0,negative,-0.2857142653061239,-0.3716,-0.0194373624982767,-0.9397029071590732
4628.0,negative,0.0,-0.8658,-0.9968971608049496,-0.9703875469064362
3987.0,negative,-0.1428571224489825,-0.5994,-0.5959708285964694,-0.8647162888519125
117.0,neutral,-0.4999998750000312,-0.6369,-0.9699473624346509,-0.8943612880583015
7626.0,neutral,0.0,-0.1877,0.9899909296627613,0.90123868816431
9692.0,negative,-0.2499999687500039,-0.9731,0.3144904778495122,-0.943732226999376
485.0,neutral,0.3333332962963004,-0.2484,0.0059225405084791,-0.3686845502257519
6989.0,neutral,-0.4285713673469475,0.296,0.9899256598417452,0.8889756686814965
11383.0,neutral,-0.0909090826446288,0.8957,-0.3366057159412364,-0.7965956532188282
5694.0,negative,-0.3333332962963004,-0.8176,-0.003659679781267,-0.9540230512456996
1118.0,positive,0.4444444197530878,0.9169,0.5021499865722721,0.1709034826301244
3986.0,neutral,-0.3333332222222592,-0.7391,0.9478001052913176,-0.4157434643291106
5937.0,neutral,0.0909090826446288,0.5716,0.9934622146797564,0.951119069975789
5901.0,neutral,0.3333332962963004,0.6808,0.9956178143741043,0.9233514577276176
8305.0,negative,-0.4285713673469475,-0.744,-0.9767813809144243,-0.918801863407529
443.0,neutral,0.0,0.0,-0.3345727035116919,-0.9171972731168944
5879.0,negative,-0.1304347769376184,-0.9873,-0.4109828230006033,-0.9208148556082768
10899.0,neutral,-0.0769230710059176,-0.9325,-0.9644052337272364,-0.509002698643606
6197.0,negative,-0.2941176297577865,-0.946,-0.4950797740881099,-0.6465091422557099
9972.0,neutral,0.7777776913580343,-0.7783,0.4920001986257133,-0.4058332849018688
5433.0,neutral,0.6666665555555741,0.8074,0.995993477845545,0.9445987992206832
11516.0,neutral,-0.0909090826446288,0.7351,0.9804371210399778,0.665271028420356
11681.0,negative,0.4444444197530878,-0.8048,-0.2864463997246473,-0.7222163938326387
3481.0,negative,-0.4285713673469475,-0.1779,-0.3236193459202317,-0.8259494889938731
10749.0,negative,-0.2727272479338866,-0.9485,0.3278324551027846,-0.8727710681771462
3651.0,negative,0.0,-0.5859,0.327523624690068,-0.2054622134047951
11917.0,negative,0.4999999750000012,0.891,-0.479918597609397,-0.1695012671906505
11334.0,negative,0.2307692130177528,0.8271,0.6001677852136448,0.1424227363052712
10866.0,neutral,0.7499999531250029,0.5994,0.438154497638009,0.082075963395161
